Ministerium,Datum,Ort,Anlass,Begleitung
AA,18.-19.10.15,Königreich Saudi-Arabien,Arbeitsbesuch,
AA,19.-20.10.15,Königreich Jordanien,Konferenz,
AA,29.-30.10.15,Hellenische Republik,Arbeitsbesuch,
AA,30.10.2015,Republik Österreich,Konferenz,
AA,05.-06.11.15,Großherzogtum Luxemburg,Konferenz,
AA,09.11.2015,Italienische Republik,Arbeitsbesuch,
AA,13.11.2015,Französische Republik,Arbeitsbesuch,
AA,14.11.2015,Republik Österreich,Konferenz,
AA,16.-17.11.15,Königreich Belgien,Konferenz,
AA,17.11.2015,Republik Zypern,Arbeitsbesuch,
AA,18.-20.11.15,Republik Mosambik,Arbeitsbesuch,
AA,20.-21.11.15,Republik Sambia,Arbeitsbesuch,
AA,21.-22.11.15,Republik Uganda,Arbeitsbesuch,
AA,22.11.2015,Vereinigte Republik Tansania,Arbeitsbesuch,
AA,30.11.2015,Vereinigtes Königreich Großbritannien und Nordirland,Arbeitsbesuch,
AA,01.-02.12.15,Königreich Belgien,Konferenz,
AA,03.-04.12.15,Republik Serbien,Konferenz,
AA,06.-09.12.15,Republik Irak,Arbeitsbesuch,
AA,13.12.2015,Italienische Republik,Konferenz,
AA,14.12.2015,Königreich Belgien,Konferenz,
AA,16.-18.12.15,Vereinigte Staaten von Amerika,Konferenz,
AA,14.01.2016,Republik Österreich,Konferenz,
AA,18.-19.01.16,Königreich Belgien,Konferenz,
AA,21.01.2016,Republik Polen,Arbeitsbesuch,
AA,02.02.2016,Italienische Republik,Arbeitsbesuch,
AA,02.-03.02.16,Islamische Republik Iran,Arbeitsbesuch,
AA,03.-04.02.16,Königreich Saudi-Arabien,Arbeitsbesuch,
AA,05.-06.02.16,Königreich der Niederlande,Konferenz,
AA,09.02.2016,Italienische Republik,Konferenz,
AA,15.-16.02.16,Königreich Belgien,Konferenz,
AA,22.-23.02.16,Ukraine,Arbeitsbesuch,
AA,26.02.2016,Großherzogtum Luxemburg,Arbeitsbesuch,
AA,28.02.-02.03.16,Vereinigte Staaten von Amerika,Arbeitsbesuch,
AA,03.-04.03.16,Französische Republik,Konferenz,
AA,06.-07.03.16,Vereinigte Arabische Emirate,Arbeitsbesuch,
AA,07.-08.03.16,Sultanat Oman,Arbeitsbesuch,
AA,13.03.2016,Französische Republik,Konferenz,
AA,22.-23.03.16,Russische Föderation,Arbeitsbesuch,
AA,29.-31.03.16,Republik Usbekistan,Arbeitsbesuch,
AA,31.03.-01.04.16,Kirgisische Republik,Arbeitsbesuch,
AA,01.04.2016,Republik Tadschikistan,Arbeitsbesuch,
AA,05.04.2016,Französische Republik,Arbeitsbesuch,
AA,07.04.2016,Französische Republik,Konferenz,
AA,08.-10.04.16,Volksrepublik China,Arbeitsbesuch,
AA,10.-11.04.16,Japan,Konferenz,
AA,16.04.2016,Libyen,Arbeitsbesuch,
AA,18.-19.04.16,Großherzogtum Luxemburg,Konferenz,
AA,19.04.2016,Republik Polen,Arbeitsbesuch,
AA,21.04.2016,Königreich der Niederlande,Regierungskonsultationen,
AA,23.04.2016,Republik Österreich,Arbeitsbesuch,
AA,01.-02.05.16,Republik Mali,Arbeitsbesuch,
AA,02.-03.05.16,Republik Niger,Arbeitsbesuch,
AA,09.-10.05.16,Französische Republik,Konferenz,
AA,16.-17.05.16,Republik Österreich,Konferenz,
AA,19.-20.05.16,Königreich Belgien,Konferenz,
AA,22.-23.05.16,Republik Türkei,Konferenz,
AA,26.05.2016,Republik Litauen,Arbeitsbesuch,
AA,26.-27.05.16,Republik Lettland,Arbeitsbesuch,
AA,27.05.2016,Republik Estland,Arbeitsbesuch,
AA,01.-03.06.16,Argentinische Republik,Arbeitsbesuch,
AA,04.-07.06.16,Vereinigte Mexikanische Staaten,Arbeitsbesuch,
AA,11.-13.06.16,Volksrepublik China,Regierungskonsultationen,
AA,14.06.2016,Republik Albanien,Arbeitsbesuch,
AA,16.06.2016,Französische Republik,Arbeitsbesuch,
AA,19.06.2016,Republik Österreich,Arbeitsbesuch,
AA,20.-21.06.16,Großherzogtum Luxemburg,Konferenz,
